video_id,channel_id,views,likes,comments,shares,subscribers_gained,estimated_revenue,avg_view_pct,avg_view_duration
WE7S4D7gxdo,UCSlOhfr5f-RPRP50yRri1uA,229,2,0,0,0,0.016,39.84,20.95
WEmEjlyxMSk,UCdtOFTQ1GVPKzvOYsi1ApIw,7,-1,0,0,0,0.0,17.5,10.43
WF_yGQEkp8g,UCkIOcyGqKTJMIIyFHJunYDA,1594,7,0,0,2,0.033,59.5,13.44
WFgptmNu404,UCkIOcyGqKTJMIIyFHJunYDA,5458,7,2,0,2,10.997,1.27,89.3
WGA4UFOaXjo,UCmhHN34V-dphAOk3RXxjb0g,12508,38,0,7,12,8.163,6.13,221.13
WHX9QHYsaaw,UC2IjY1Gm6b7pYp-vMJ2R9ig,2,0,0,0,0,0.001,58.67,27.0
WHy7vPuSZw8,UCl_Nqhf2SGNwv4uvbvs3upg,47,0,0,0,1,0.044,3.76,269.6
WIZgM04qzJs,UCSlOhfr5f-RPRP50yRri1uA,372,5,0,0,1,0.037,63.5,19.25
WJiGsSbzeDw,UCEFB0gMdnD1NyiZaedHg2hQ,30,0,0,0,0,0.01,8.29,42.0
WKIfoJHnZhI,UCSlOhfr5f-RPRP50yRri1uA,693,2,0,0,0,0.008,40.18,23.3
WKcNa-W5H58,UCnwjt6PgkKuZC4S1A0yTOFQ,18,0,0,0,0,0.001,43.05,25.0
WLKdLb4B-Gk,UCT7ZxKrKqxBvAODr8h_ODkA,7,0,0,0,0,0.002,4.47,95.57
WLxa7ss455Q,UCMGKZD9ggu_Pfo4dkL47cXQ,429,7,1,2,0,0.086,54.73,31.33
WN0EUWd3Y8U,UCAkSxwl8Lbk2hBXAAfsEFTA,13,0,0,0,0,0.0,0.25,3.23
WNWgJMrPcR8,UCSlOhfr5f-RPRP50yRri1uA,304,1,0,0,0,0.005,36.57,15.17
WO6FiU4XEU8,UCNkelFxYeQTdVdBzl3yaliw,240,6,0,0,2,0.0,7.42,111.67
WPPvh5enxug,UCZem4a64VnhfA4CBw9vM2bg,274,4,0,0,0,0.398,20.47,106.04
WPTaDLSZLyw,UCEFB0gMdnD1NyiZaedHg2hQ,22905,323,2,2,45,2.042,63.6,21.0
WPUHm2yuk-g,UCsbnInDepLdq6o781WVZ-5g,5676,23,0,3,18,0.929,11.89,159.38
WQgkzu1Csmk,UCk2O5vfW3c_W5YWQ_BoD1Ug,91,2,0,0,0,0.007,49.29,23.9
WRVFuOgtzA0,UCAkSxwl8Lbk2hBXAAfsEFTA,13,0,0,0,0,0.017,0.96,49.0
WS8cOL38G14,UCxxl4xdZZqRSSz2VfnFBhwA,4,0,0,0,0,0.0,71.23,20.0
WTGsWeRkb1Y,UCl_Nqhf2SGNwv4uvbvs3upg,16864,12,3,0,4,25.423,1.09,75.72
WTMF1WpFkm0,UCEFB0gMdnD1NyiZaedHg2hQ,194,5,0,0,0,0.019,72.39,18.0
WUppOZZqCrg,UCdtOFTQ1GVPKzvOYsi1ApIw,1,0,0,0,0,0.0,23.04,12.0
WUuQgWwZvPE,UCm3RYOItKT_P0-oRCkkSMZw,3,0,0,0,0,0.0,0.12,0.33
WVDcOXl-CGc,UCEFB0gMdnD1NyiZaedHg2hQ,119,1,0,0,0,0.016,77.34,25.94
WVqV-JMdJ2c,UCEFB0gMdnD1NyiZaedHg2hQ,9933,135,0,1,2,1.14,62.05,22.0
WVrp7bn3QBQ,UC82nFsZOjs5Tr96upPPq9Ww,397,3,0,0,3,0.675,11.46,272.48
WWSGF8LLGw0,UC8gDq5ENmiVuJZIVsiZbQ8g,741,11,0,0,1,0.033,82.76,22.59
WWjMr-hjfMA,UCnwjt6PgkKuZC4S1A0yTOFQ,4,0,0,0,0,0.0,0.77,11.0
WXDPHEQIRh0,UCJw9px5fOp-nwJG6g4gN1ng,49,0,0,0,0,0.007,69.54,20.49
WXlFEDnI5kY,UCk2O5vfW3c_W5YWQ_BoD1Ug,251,6,0,0,0,0.014,47.65,57.06
WXvOH1OhrHQ,UC0GVHmLgrxE2SS8F0C19JVg,253,0,0,1,1,0.274,8.73,143.89
WZHMJKqIzdk,UCMGKZD9ggu_Pfo4dkL47cXQ,5372,48,1,7,16,12.894,17.88,276.51
WZZkcyMuUhY,UC8gDq5ENmiVuJZIVsiZbQ8g,7145,28,3,7,15,16.557,3.99,300.56
Wc3pMwMDTjA,UCm3RYOItKT_P0-oRCkkSMZw,3,0,0,0,0,0.0,3.32,63.0
WeiLutlD6Yo,UCx08xHWVSQIiujaTJb8HWYg,1091,1,0,0,1,0.015,15.91,12.88
WerBSQxPVWc,UC8Fm-ogvMehvbgF0BJjKiuQ,13,1,0,0,0,0.001,65.96,11.0
WfnbZeaTWlw,UCMGKZD9ggu_Pfo4dkL47cXQ,227,3,0,0,0,0.041,64.03,14.7
